,AIRCRAFT,Turbulence_Category
832,AC6O,L
833,B757 B737,M
834,C722,L
835,PV21,U
836,SE,L
837,C625,U
838,SM34,U
839,B727-200,M
840,B672,U
841,DRJ,U
842,ERC0,L
843,C812,U
844,G73,L
845,L35,M
846,NO20,U
847,MM20,L
848,B707,M
849,MD80 B727,M
850,NAV4,L
851,C295,M
852,SD3,U
853,C301,L
854,P27,L
855,DC95,M
856,BNW,U
857,AT6,L
858,TB30,L
859,PA48,L
860,L11,L
861,FAA2,U
862,C25,M
863,NUMEROUS,U
864,CRF2,U
865,M80,U
866,MO2P,U
867,M07,U
868,JS20,L
869,M260,L
870,SB20,M
871,DC4,M
872,BKN,U
873,BL24,U
874,HA300,L
875,LC35,U
876,PP28,L
877,BL30,U
878,LG,L
879,P808,L
880,G44,L
881,V182,U
882,NMRS ACFT,U
883,RV 8,L
884,145,M
885,LR26,L
886,AC10,L
887,DC91,M
888,CJ1,L
889,RB20,L
890,HA343,L
891,SL8,U
892,PAZE,U
893,HE3,U
894,C190,L
895,A55,U
896,BL,L
897,A30,L
898,BAE1,U
899,S64,M
900,HDC8,U
901,;K35,U
902,BE17,L
903,SF26,L
904,T34T,L
905,BE45,M
906,BE353,L
907,GFF4,U
908,C327,L
909,S330,L
910,J3,M
911,RV7,L
912,BA28,L
913,PTS,L
914,AA1B,L
915,SD36,U
916,T34B,L
917,GLST,L
918,P32T,L
919,HF22,M
920,SH8,U
921,MO23,U
922,DC3T,M
923,BE28,L
924,BE53,L
925,BE46,M
926,S320,M
927,SH2,U
928,H28B,U
929,ASP5,L
930,BC9,U
931,BH12,U
932,C112,L
933,C305,L
934,N1,M
935,PA21,L
936,B736,M
937,F14,M
938,PA39,L
939,DEFI,L
940,MB45,U
941,BC19,U
942,C335,L
943,J41,U
944,MD50,L
945,GL2,U
946,0LF5,U
947,SB29,M
948,C23,M
949,HS50,U
950,AC9T,L
951,TC25,L
952,HXP,U
953,A327,L
954,E8C,U
955,B300,L
956,ST08,U
957,SR4,U
958,BA31,U
959,B17,M
960,FK27,L
961,CIA1,U
962,OH50,U
963,BL12,L
964,TB9,U
965,N727,M
966,C52B,L
967,PA8T,U
968,RV9,L
969,SR21,L
970,COZY,L
971,SU29,L
972,NAV,L
973,MO2J,U
974,EC30,L
975,045,U
976,C336,L
977,M21,L
978,,U
979,BE9F,L
980,C330,M
981,TRIS,L
982,CLA,L
983,F33,U
984,S33A,L
985,LA42,L
986,NE55,U
987,L1011,L
988,C65X,M
989,AT42,L
990,B24R,M
991,HXD,U
992,M21J,L
993,AT41,L
994,BE49,M
995,MU20,L
996,C72A,L
997,C530,U
998,V35,L
999,TB70,U
1000,VARIOUS,U
1001,F20,M
1002,CRJ5,M
1003,ML8,U
1004,T310,U
1005,LJ50,M
1006,AC60,L
1007,TB09,L
1008,GLXY,U
1009,B150,L
1010,B430,L
1011,SWIF,L
1012,BR24,L
1013,VAR,U
1014,DHC4,M
1015,PT12,U
1016,LA27,L
1017,DH2},L
1018,PAPR,U
1019,VREZ,U
1020,NMRA,U
1021,C1;2,U
1022,085,U
1023,RJ1,M
1024,C82T,L
1025,EURO,L
1026,C160,M
1027,DD40,U
1028,CR60,U
1029,SCTU,L
1030,0848,U
1031,BA306,U
1032,BL16,L
1033,B1B,L
1034,LA2,L
1035,MO2T,U
1036,S2,L
1037,TS60,U
1038,G120,L
1039,DC19,H
1040,ALL JETS,L
1041,EMB7,L
1042,LJ38,M
1043,BE200,L
1044,S223,L
1045,C10,L
1046,A308,L
1047,P284,L
1048,BN8,U
1049,C660,U
1050,OMF1,U
1051,A319 B738,L
1052,PA321,L
1053,G21,M
1054,CH06,U
1055,PA41,L
1056,AC,L
1057,P32B,L
1058,COL1,L
1059,M02P,U
1060,FR28,U
1061,AC56,L
1062,DO82,U
1063,C172F,L
1064,DORN,U
1065,WW,M
1066,FNKB,L
1067,H295,U
1068,C18>,L
1069,M21P,L
1070,HU50,U
1071,C183,L
1072,PTS2,L
1073,P2A,U
1074,LEZE,U
1075,C211,L
1076,BE38,L
1077,ASTRA JET,M
1078,WACO,L
1079,B727 TEST,M
1080,PC9,L
1081,F34,M
1082,B462,M
1083,MOD,U
1084,P34,U
1085,VRS,U
1086,LJ55 A319,M
1087,KC5,U
1088,SJ7,U
1089,BH02,U
1090,GLSA,L
1091,K35,H
1092,S1,L
1093,H2B,U
1094,K135,U
1095,AT82,M
1096,C145,L
1097,B72A,M
1098,FA18,M
1099,B336,U
1100,B721,M
1101,310,H
1102,CJ6A,L
1103,B461,M
1104,D325,M
1105,ATR172,L
1106,AC52,L
1107,B36T,L
1108,BL14,L
1109,B12,U
1110,TE1,U
1111,H3,L
1112,CLVT,U
1113,JETA,M
1114,E148,M
1115,NV1,U
1116,BA14,M
1117,M20B,L
1118,CHAL,L
1119,M200,L
1120,AR58,L
1121,T18,L
1122,F340,M
1123,AT8T,M
1124,ST107,L
1125,G164,L
1126,HS41,U
1127,OVC0,U
1128,E123,M
1129,PA25,L
1130,PS28,U
1131,C777,L
1132,DH80,L
1133,SP20,L
1134,MD80 B712,M
1135,182,L
1136,A312,L
1137,T41,L
1138,MN20,U
1139,ATR43,L
1140,PARR,L
1141,TS22,L
1142,B730,M
1143,G50,L
1144,HE1,U
1145,C127,L
1146,CL22,M
1147,PC7,L
1148,DASH8,U
1149,TRINIDAD,L
1150,A393,U
1151,C180-FLOATS,L
1152,CARJ E145,L
1153,390,M
1154,LUSC,L
1155,PTSM,L
1156,TCOU,L
1157,C10T,L
1158,BE2-,L
1159,C128,L
1160,MU40,U
1161,LA5,U
1162,AC6L,L
1163,BSTP,M
1164,H321,U
1165,S65C,L
1166,L31,U
1167,HB2,L
1168,HS24,U
1169,DC-9,U
1170,120,L
1171,B109,L
1172,TC14,U
1173,C162,L
1174,DA45,L
1175,DW1,L
1176,1PC12,U
1177,SF3F,M
1178,C555,L
1179,C108,L
1180,B36,L
1181,MXT7,U
1182,C201,L
1183,NA2,U
1184,B770,H
1185,TC12,U
1186,C77,L
1187,B767-300,H
1188,AT3P,L
1189,B757 MD80,M
1190,VE36,U
1191,O2,L
1192,A2,L
1193,LGT,U
1194,MJ20,L
1195,BNZA,U
1196,PA16,L
1197,B272,U
1198,H135,U
1199,DKC8,U
1200,AR7,U
1201,M20D,L
1202,C06,L
1203,DIMO,L
1204,GLDR,U
1205,B737; MD80,M
1206,C737,U
1207,JF32,U
1208,B190R,M
1209,TRND,U
1210,LEARJET,U
1211,TV70,U
1212,CH6,L
1213,LNCR,L
1214,MUL,U
1215,B757 B767,M
1216,M20S,L
1217,CT6,U
1218,A1B,U
1219,C323,L
1220,73G,U
1221,MD80 B757,M
1222,DA90,U
1223,BE56,L
1224,PA58,U
1225,BL19,L
1226,C408,M
1227,JS21,L
1228,GS3,U
1229,7CA,U
1230,BEPL,U
1231,B47G,L
1232,B7837,H
1233,K35A,H
1234,RJ50,U
1235,C81,U
1236,EB14,U
1237,COPT,U
1238,B52H,M
1239,BE37,L
1240,VEZE,L
1241,PN65,U
1242,MO20J,U
1243,C3E4,U
1244,HXC,U
1245,SCT0,L
1246,T44,M
1247,P2,L
1248,WW44,U
1249,BKN0,U
1250,FO2,U
1251,C72K,U
1252,C280,U
1253,FA24,U
1254,415C,U
1255,CC18,U
1256,M,U
1257,BA20,U
1258,CR12,U
1259,AEAT,U
1260,TA31,U
1261,WW24G,U
1262,B757 H25,U
1263,ML,U
1264,TOBA,U
1265,A4,U
1266,BL35,U
1267,L29A,U
1268,MOTO,U
1269,P6,U
1270,0A32,U
1271,SH7,U
1272,A258,U
1273,742,U
1274,C1A,U
1275,BE26,U
1276,PA36,U
1277,B07,U
1278,LNC,U
1279,C712,U
1280,SPIT,U
1281,FALCON,U
1282,A31P,U
1283,B737-,U
1284,EZE,U
1285,GLS2,U
1286,DV55,U
1287,MX7,U
1288,GLID,U
1289,M18,U
1290,B737 E145,U
1291,PA2,U
1292,L5,U
1293,GS4,U
1294,AA52,U
1295,GLF450,U
1296,150,U
1297,N06,U
1298,SK55,U
1299,LS80,U
1300,CRJR,U
1301,BE190,U
1302,H1AB,U
1303,PA43,U
1304,SL4,U
1305,TWIN,U
1306,HUCO,U
1307,T34C,U
1308,RBEL,U
1309,C398,U
1310,CRJT,U
1311,E200,U
1312,BE94,U
1313,BE0,U
1314,763,U
1315,APRO,U
1316,GLSR,U
1317,BE22,U
1318,C757,U
1319,CIT,U
1320,HELIO,U
1321,YAK,U
1322,B37A,U
1323,S22,U
1324,240,U
1325,FA30,U
1326,B204,U
1327,SF35,U
1328,PC6P,U
1329,C406,U
1330,SF3,U
1331,H55,U
1332,C184,U
1333,ACFT,U
1334,SR2,U
1335,C550G,U
1336,YK18,U
1337,GALY,U
1338,BE78,U
1339,LR24 CRJ1,U
1340,J321,U
1341,206,U
1342,PACE,U
1343,LNC8,U
1344,B47J,U
1345,RJ25,U
1346,C505,U
1347,E3C,U
1348,A6,U
1349,EC15,U
1350,CA12,U
1351,E134,U
1352,C411,U
1353,B575,U
1354,BEOL,U
1355,C423,U
1356,FA11,U
1357,ERC,U
