,AIRCRAFT,Turbulence_Category
7300,FT2H,U
7301,NUMR AC,U
7302,PA4E,U
7303,B7388,U
7304,CRJPL,U
7305,0752,U
7306,ALL UPS,U
7307,NUMEROUSAC,U
7308,MD88 E120,U
7309,F28R,U
7310,CRJ7 HB777,U
7311,G424,U
7312,BE20`,U
7313,HAWKER25,U
7314,A306H,U
7315,DH8I,U
7316,PIVI,U
7317,CL060,U
7318,H-C17,U
7319,C340 & C56X,U
7320,C750 A319,U
7321,A16,U
7322,BE9G,U
7323,C25K,U
7324,PS,U
7325,A319 MD83,U
7326,M2,U
7327,A321 NMRS,U
7328,E170 CRJ9,U
7329,HB773,U
7330,S62,U
7331,C25E,U
7332,H2SC,U
7333,SBR1Q,U
7334,HC17Q,U
7335,VARIOUS210,U
7336,MD95,U
7337,EUROCOPTER AS-350,U
7338,B772 B752,U
7339,E190TOPS 26,U
7340,A319 CRJ2,U
7341,ASTR & C750,U
7342,CRJ 9,U
7343,CG80,U
7344,HV,U
7345,GIV,U
7346,A38,U
7347,A319 AND E145,U
7348,A336,U
7349,E,U
7350,DH89,U
7351,NUMRS ACRFT,U
7352,B747 CL60,U
7353,CRJJ7,U
7354,AS21,U
7355,P752,U
7356,E190Q,U
7357,DH8DQ,U
7358,A306  DH8,U
7359,MD90Q,U
7360,A320L,U
7361,EC135 HELI,U
7362,OVC012,U
7363,ATY43,U
7364,E325,U
7365,BW40,U
7366,D90,U
7367,TOPA,U
7368,UHEL,U
7369,E2145,U
7370,B772 CRJ7,U
7371,B36T6,U
7372,MO020,U
7373,CL60 B737,U
7374,CTJ9,U
7375,B777W,U
7376,APLNE,U
7377,HXAA,U
7378,WW24 B737,U
7379,F1FV,U
7380,U8F,U
7381,CC402,U
7382,REPORTED AS CRJ,U
7383,LJ4,U
7384,PATG,U
7385,LL30,U
7386,B757 HB767,U
7387,DA42G,U
7388,F950,U
7389,W55,U
7390,HR250,U
7391,E2TH,U
7392,C2080,U
7393,NMROUS,U
7394,G4SG,U
7395,B900,U
7396,D280,U
7397,D128,U
7398,B772 B738,U
7399,NMSR ACFT,U
7400,B190 SK 080 OVC 105,U
7401,B77W  E170,U
7402,ELPS,U
7403,2145,U
7404,B7381,U
7405,BELLO,U
7406,SH233,U
7407,DALIO,U
7408,EC25,U
7409,KFIR,U
7410,MO28,U
7411,SNS7,U
7412,D11,U
7413,LJ66,U
7414,B7633,U
7415,A3343,U
7416,C08T,U
7417,COL3G,U
7418,C772,U
7419,AC99,U
7420,B737 NMRS,U
7421,FEST,U
7422,B763H,U
7423,SA24,U
7424,B71,U
7425,ANGL,U
7426,B737 A370,U
7427,C750 B737,U
7428,INCQ,U
7429,GLFT,U
7430,GALZ,U
7431,HMB11,U
7432,SUCO,U
7433,HB72,U
7434,B1930,U
7435,X185,U
7436,E456X,U
7437,MZ0P,U
7438,GLEX GLF5,U
7439,B737 CRJ9,U
7440,MXS,U
7441,B77H,U
7442,ELST,U
7443,900,U
7444,E20B,U
7445,P329,U
7446,PAYB,U
7447,BU31,U
7448,AVIT HUSKY,U
7449,`H25,U
7450,NUMRS AC,U
7451,B139,U
7452,DV,U
7453,TBH7,U
7454,F960,U
7455,C650 A320,U
7456,PISI,U
7457,B752 A333,U
7458,E45Y,U
7459,BE63,U
7460,G190,U
7461,2- A340,U
7462,F2THQ,U
7463,A343Q,U
7464,MULT TYPES,U
7465,E1701,U
7466,0159,U
7467,A344,U
7468,H47D,U
7469,GSIS,U
7470,DH8DD,U
7471,WACA,U
7472,GLAS R,U
7473,H2S,U
7474,B7637,U
7475,AB319,U
7476,A399,U
7477,COL3A,U
7478,C208G,U
7479,B722 E45X,U
7480,C210A,U
7481,HU1,U
7482,F104,U
7483,B209,U
7484,C828,U
7485,ERJ-135,U
7486,C501L,U
7487,E5OP,U
7488,CH8D,U
7489,737-800,U
7490,P8,U
7491,B7653,U
7492,EUOT,U
7493,P1,U
7494,NAVY T39,U
7495,S210,U
7496,NG5,U
7497,BE30 C207,U
7498,B7E7,U
7499,E45T,U
7500,A321-B738,U
7501,RA27,U
7502,CLX,U
7503,MULTIPL,U
7504,BE30L,U
7505,DAL5,U
7506,2125,U
7507,F2K,U
7508,BE35A,U
7509,FPA2,U
7510,CL2T,U
7511,A320 E170,U
7512,N5YES,U
7513,C286,U
7514,BE20 A319,U
7515,CRJ2 E45X,U
7516,MD90 E55,U
7517,CNVT,U
7518,P78A,U
7519,G33,U
7520,B198,U
7521,CHIF,U
7522,N748,U
7523,M20 LGT -MOD PRECIPITATION,U
7524,346,U
7525,S2P,U
7526,LJ35 RJ7,U
7527,5,U
7528,C-130,U
7529,MUT,U
7530,CA65,U
7531,[28B,U
7532,H900,U
7533,AT12,U
7534,PC32,U
7535,EVOT,U
7536,E45X A320,U
7537,L210,U
7538,LJ43,U
7539,752Q,U
7540,CIT25,U
7541,H25B A320,U
7542,B7338,U
7543,CRJ2 M20T,U
7544,E5SP,U
7545,R170,U
7546,F-22,U
7547,767 737,U
7548,AL90,U
7549,TL30,U
7550,V750,U
7551,MULTP,U
7552,OVC-TOP1,U
7553,PA-18,U
7554,SJET,U
7555,G280,U
7556,L540,U
7557,BE-20,U
7558,LJ40 CRJ7,U
7559,0E135,U
7560,DHD4,U
7561,1T72,U
7562,SEVERAL A,U
7563,CRJ170,U
7564,PZ46,U
7565,H330,U
7566,RJ21,U
7567,A21,U
7568,1734,U
7569,C206T,U
7570,E170 H25C,U
7571,B738 CRJ2,U
7572,CRJ7 AND A3,U
7573,CRJ7 B737,U
7574,PR,U
7575,SK10,U
7576,CRSJ7,U
7577,F2T7T,U
7578,NMRS LRG,U
7579,B7752,U
7580,E59P,U
7581,E189,U
7582,700,U
7583,B7524,U
7584,MUTP,U
7585,SW21,U
7586,CRH2,U
7587,RRM1,U
7588,BB737,U
7589,A349,U
7590,H A333,U
7591,A3241,U
7592,A380 SUPER,U
7593,1108,U
7594,MULT B739,U
7595,H25BQ,U
7596,C20E,U
7597,B737  A321,U
7598,IA319,U
7599,2 JETS,U
7600,NMRS B757S,U
7601,STRM,U
7602,SB37,U
7603,CRJ2 CRJ9,U
7604,S332,U
7605,ESOP,U
7606,B7.39,U
7607,MB82,U
7608,SVNH,U
7609,W3,U
7610,ONKN,U
7611,TMB8,U
7612,A340 GLF5,U
7613,FA2X,U
7614,PO6T,U
7615,FEW JETS,U
7616,ALL TYPE ACFT,U
7617,B757Q,U
7618,0A31,U
7619,H25B B737,U
7620,EC120B,U
7621,C50L,U
7622,G222,U
7623,E5X,U
7624,CRJ-7,U
7625,LRJ35,U
7626,LRJ4,U
7627,B35Q,U
7628,E230,U
7629,B190G,U
7630,E270,U
7631,C16,U
7632,A348,U
7633,P208,U
7634,CORO,U
7635,MD99,U
7636,DH8P,U
7637,DG50,U
7638,DHA3,U
7639,B1 + KC135,U
7640,CRJ7 B744,U
7641,TOPS FL240,U
7642,DHAB,U
7643,EU5X,U
7644,B72W,U
7645,CIR22,U
7646,BKN-TOP037,U
7647,C566,U
7648,DL93,U
7649,PASV,U
7650,PAY46,U
7651,MU88,U
7652,B752 B77W,U
7653,H763Q,U
7654,JJ31,U
7655,PH8,U
7656,AT30,U
7657,HA332Q,U
7658,C18T,U
7659,CR-9,U
7660,PAT3,U
7661,FL280,U
7662,E3W,U
7663,NG4,U
7664,OVC175,U
7665,DA8D,U
7666,RT2,U
7667,B777`,U
7668,L25A,U
7669,B73X,U
7670,TM8,U
7671,E135 AND B7,U
7672,C4560,U
7673,BA340,U
7674,BE08,U
7675,CTLN,U
7676,E509,U
7677,LAKR,U
7678,CIT750,U
7679,C75B,U
7680,DA7X,U
7681,PZ04,U
7682,CRJ2Q,U
7683,E145 DH8B,U
7684,FZTN,U
7685,424,U
7686,CRJ2 LJ45,U
7687,B737'S,U
7688,MF80,U
7689,CIT560,U
7690,A324,U
7691,AA4,U
7692,HAYT,U
7693,RT20,U
7694,NMR3,U
7695,LE62,U
7696,Z330,U
7697,406,U
7698,MX2,U
7699,M2P,U
7700,0A12,U
7701,B737  LJ55,U
7702,DHC6G,U
7703,AT43G,U
7704,B738 B737,U
7705,A320 MD88,U
7706,DH06,U
7707,EMB135,U
7708,1300,U
7709,A.320,U
7710,D6SL,U
7711,B737-8,U
7712,E1353,U
7713,B7767,U
7714,MD80 & TBM,U
7715,CLSP,U
7716,HXBT,U
7717,AS350 HELO,U
7718,GSF4,U
7719,B744H,U
7720,R66,U
7721,MD88 B757,U
7722,B733-700,U
7723,T-38,U
7724,B737 GLF5,U
7725,F1TH,U
7726,RB5,U
7727,C56ZX,U
7728,EX45X,U
7729,TBM750,U
7730,OVC005,U
7731,PC17,U
7732,G650,U
7733,ERJ135,U
7734,B`190,U
7735,B77W B772,U
7736,SECOND ACFT A320,U
7737,C441 B763,U
7738,FQ50,U
7739,A320 B772,U
7740,PAYE3,U
7741,C72B,U
7742,VENT,U
7743,TP320,U
7744,UFM1,U
7745,CH15,U
7746,MB11,U
7747,B425,U
7748,CB50,U
7749,A321 H25B,U
7750,LTSB,U
7751,B753Q,U
7752,170 CRJ7,U
7753,B780,U
7754,M06,U
7755,SM60,U
7756,E145 & C17,U
7757,RQ48,U
7758,MO20G DA42G,U
7759,C62,U
7760,AESR,U
7761,CGB0,U
7762,NAT6,U
7763,B1910,U
7764,P18T,U
7765,PA343,U
7766,LN27,U
7767,N772,U
7768,AC72,U
7769,M030,U
7770,C5M,U
7771,MP88,U
7772,DG80,U
7773,M20F SK,U
7774,C56C,U
7775,RJ2 E145,U
7776,CP32,U
7777,C210U,U
7778,KR1,U
7779,PABI,U
7780,GLEX1Q,U
7781,VTRA,U
7782,AC5M,U
7783,BBB739,U
7784,RAV5,U
7785,430,U
7786,GL5P,U
7787,0350,U
7788,B83,U
7789,G59,U
7790,P238A,U
7791,FAX7,U
7792,GLE8,U
7793,1901,U
7794,U10,U
7795,DA36,U
7796,B7417,U
7797,B73747,U
7798,A320 C56X,U
7799,E170 B757,U
7800,PRTS,U
7801,B190BKN005-,U
7802,C404`,U
7803,B737 TOP,U
7804,BP38,U
7805,E195,U
7806,TBMB,U
7807,CMAS,U
7808,GLT5,U
7809,C4221,U
7810,NUUMEROUS A,U
7811,E170 MD88,U
7812,E170A,U
7813,PA72,U
7814,NUMEROUS ACFT VCTY OF RDG,U
7815,A343A,U
7816,CRJ2 A319,U
7817,LJ45L,U
7818,VARIOUS JET,U
7819,MULTIPLE LGT JETS,U
7820,B712 B737,U
7821,LOTS,U
7822,HB63,U
7823,MT2,U
7824,FA00,U
7825,1711,U
7826,HXD2,U
7827,BRJ7,U
7828,CRJ7 C510,U
7829,B144,U
7830,HB772L,U
7831,HC60,U
7832,B746,U
7833,HA306L,U
7834,SKYR,U
7835,3,U
7836,E145 CRJ7,U
7837,C08,U
7838,LJ31L,U
7839,B772L,U
7840,CL02,U
7841,CRJ9 E145,U
7842,B737 MD90,U
7843,A246,U
7844,GL56,U
7845,P738,U
7846,C763,U
7847,MD88 B717,U
7848,B737 F2TH,U
7849,C101,U
7850,E35P,U
7851,EE55,U
7852,SR20G,U
7853,E1290,U
7854,B738L,U
7855,E190L,U
7856,B733L,U
7857,H388,U
7858,A320 PC12,U
7859,E5P,U
7860,MD80A,U
7861,A320 G5,U
7862,DHC8D,U
7863,VB738,U
7864,MD88 A320,U
7865,ES50,U
7866,SF-340,U
7867,BIGJETS,U
7868,JS3,U
7869,BE36G,U
7870,HB744L,U
7871,B737 E190,U
7872,E318,U
7873,`B777,U
7874,B752L,U
7875,B739L,U
7876,BE30G,U
7877,F4TH,U
7878,E-120,U
7879,PREMIER JET,U
7880,A565,U
7881,F50P,U
7882,LJ235,U
7883,TRM,U
7884,M20TG,U
7885,A320+B757,U
7886,A321L,U
7887,1332,U
7888,F45,U
7889,C510L,U
7890,SW3G,U
7891,D88D,U
7892,AC30B,U
7893,LGT CHOP,U
7894,AT76,U
7895,A320 A319,U
7896,C750L,U
7897,737 MD83,U
7898,P212,U
7899,B738 TBM7,U
7900,A332H,U
7901,GLG4,U
7902,C550 B752,U
7903,BKN023,U
7904,C-210,U
7905,C-310,U
7906,A320 MULTI,U
7907,A320 MD83,U
7908,HAWKER 800,U
7909,CL300,U
7910,C546X,U
7911,GK5T,U
7912,MD89,U
7913,C125,U
7914,ZAN,U
7915,P3A,U
7916,AIRCARRIERS,U
7917,1525,U
7918,TP A343,U
7919,TOP118,U
7920,C25D,U
7921,CL56,U
7922,1645,U
7923,A33S,U
7924,MULTPLE,U
7925,F55P,U
7926,1823,U
7927,PA-76,U
7928,GKF6,U
7929,DC1C,U
7930,B753L,U
7931,B119,U
7932,B757 RJ,U
7933,HB763 B737,U
7934,C318,U
7935,A434,U
7936,H66,U
7937,L3,U
7938,E170-B737,U
7939,388,U
7940,C402 C210,U
7941,CRV2,U
7942,UAL,U
7943,C 56X &C560,U
7944,C310 P06T,U
7945,AHA4T,U
7946,C-750,U
7947,PROW,U
7948,CL680,U
7949,HB764L,U
7950,PVRM1,U
7951,BE 36,U
7952,BE35 PA31,U
7953,P12,U
7954,BD65,U
7955,SMOOTH RIDE,U
7956,MD11 B752,U
7957,C177 LNC4,U
7958,C-421,U
7959,ESSP,U
7960,E45X & B738,U
7961,HB77C,U
7962,BC30,U
7963,MD11L,U
7964,AB763,U
7965,WB57,U
7966,332,U
7967,C 172,U
7968,MDE8,U
7969,H4T,U
7970,SR55,U
7971,OVC010-TOP0,U
7972,PARJ,U
7973,EXP1,U
7974,0310,U
7975,A744,U
7976,C5550,U
7977,CDH,U
7978,C25L,U
7979,HB763L,U
7980,C750 H25B,U
7981,UNKOWN,U
7982,HA14,U
7983,GP3,U
7984,FA50L,U
7985,PA28 SR22,U
7986,C52C,U
7987,PA28U,U
7988,SF3U,U
7989,GILF5,U
7990,SR22T,U
7991,B872,U
7992,KOKI,U
7993,CRJU9,U
7994,0739,U
7995,DA41,U
7996,CRJ2-A320,U
7997,DG10,U
7998,AS63,U
7999,COUC,U
8000,SCUB,U
8001,KODIAK,U
8002,JL60,U
8003,NUMR JETS,U
8004,H749,U
8005,KOZY,U
8006,A320-,U
8007,TOP040 OVC0,U
8008,BKN040 TOP,U
8009,MULTI B7,U
8010,C-208,U
8011,B757 MD90,U
8012,E50 P,U
8013,B748L,U
8014,MD90Z,U
8015,B47T,U
8016,SONX,U
8017,BS25,U
8018,M025,U
8019,K35T,U
8020,A400,U
8021,FB8,U
8022,A319 & A321,U
8023,M02T,U
8024,HETS,U
8025,B40 BIPLANE,U
8026,SB7,U
8027,DJ8D,U
8028,DH8E,U
8029,1248,U
8030,A3321,U
8031,MEXP,U
8032,RV19,U
8033,BOEING 40-C SMOOTH,U
8034,G738,U
8035,C310G,U
8036,MULTIPLE JETS,U
8037,H-A332,U
8038,FDMC,U
8039,RPM1,U
8040,D752,U
8041,B774L,U
8042,C25Z,U
8043,B 77W,U
8044,HA388,U
8045,A3Q9,U
8046,C689,U
8047,PPRM,U
8048,HDC10L,U
8049,B748 B739,U
8050,GL54,U
8051,CL08,U
8052,M883,U
8053,V180,U
8054,56X,U
8055,E314,U
8056,TB47,U
8057,DG8D,U
8058,NO INFO,U
8059,GIRO,U
8060,G2CA,U
8061,B749,U
8062,DM8C,U
8063,4A4000,U
8064,B29,U
8065,E1358,U
8066,CRJ7 B738,U
8067,SH8A,U
8068,C6X,U
8069,BH8D,U
8070,F402,U
8071,SW12,U
8072,CRJ7G,U
8073,BT36,U
8074,H25 B712,U
8075,MULTPL,U
8076,GOOS,U
8077,CL3D,U
8078,FTH,U
8079,FJ2,U
8080,E45 - NUM,U
8081,LJ55 C56X,U
8082,B79,U
8083,SA75,U
8084,SB39,U
8085,B258,U
8086,GLF5T,U
8087,VKP3,U
8088,HDJT,U
8089,MD88 RJ9,U
8090,JJ35,U
8091,M 20,U
8092,TOPS 172,U
8093,HIDC10,U
8094,CD88,U
8095,E55PIL,U
8096,R772,U
8097,OVC012 TOP0,U
8098,CEJ2,U
8099,M44,U
8100,DH-8A,U
8101,A346 B737,U
8102,RF6,U
8103,DH8F,U
8104,PF28,U
8105,B737 MANY,U
8106,DL30,U
8107,SIR,U
8108,FH06,U
8109,ATTR,U
8110,DH-8C,U
8111,D748,U
8112,BD11,U
8113,175,U
8114,M022,U
8115,A231,U
8116,DLF8,U
8117,J238,U
8118,B737X,U
8119,CRJ10,U
8120,BA321,U
8121,RGNL,U
8122,CP22,U
8123,`A319,U
8124,CS172,U
8125,PA-44,U
8126,E90,U
8127,L90,U
8128,[A24,U
8129,FL190,U
8130,J528,U
8131,1135,U
8132,SABERLINER,U
8133,MQ1,U
8134,PC22,U
8135,C130 C340,U
8136,BE20 B737,U
8137,C556X,U
8138,SABRELINER,U
8139,712E,U
8140,C36,U
8141,CR39,U
8142,E1710,U
8143,B99L,U
8144,C1`30,U
8145,G450,U
8146,D46T,U
8147,2130,U
8148,C240,U
8149,MTPLE,U
8150,PH27,U
8151,\G150,U
8152,0GLF4,U
8153,DA34,U
8154,N788,U
8155,MD90 E145,U
8156,299,U
8157,B7525,U
8158,GLF69,U
8159,AB350,U
8160,PC1,U
8161,B7327,U
8162,DH3H,U
8163,PC121,U
8164,B752 CRJ7,U
8165,HB74,U
8166,`GLF4,U
8167,E1070,U
8168,B7888,U
8169,GAX,U
8170,77W,U
8171,S22T,U
8172,LJ35 C560,U
8173,MUNEROUS AC,U
8174,DC10 B738,U
8175,BB738,U
8176,E43X,U
8177,P2TH,U
8178,AL50,U
8179,EVO,U
8180,B7636,U
8181,B777L,U
8182,2335,U
8183,B73.7,U
8184,482,U
8185,773,U
8186,SF54,U
8187,F450,U
8188,C17H,U
8189,DAY0,U
8190,HB748L,U
8191,DH-8B,U
8192,F30,U
8193,SU95,U
8194,E1,U
8195,ANE170,U
8196,HD8A,U
8197,B757 DH8D,U
8198,NMRS ARCFT,U
8199,737-8,U
8200,B784,U
8201,FA50 B733,U
8202,B772H,U
8203,PASS,U
8204,A33L,U
8205,TPB737,U
8206,DH78D,U
8207,DH8 CRJ2,U
8208,LARGE JETS,U
8209,SERA,U
8210,A319 RJ2,U
8211,H40,U
8212,3127,U
8213,B7.38,U
8214,DR10,U
8215,MD88 E170,U
8216,B777H,U
8217,C680L,U
8218,B74X,U
8219,M20 IN THE CLOUDS,U
8220,S321,U
8221,B487,U
8222,UH-72,U
8223,M011,U
8224,G780,U
8225,DH8D PC12,U
8226,A319+NMRS,U
8227,FAET,U
8228,C70T,U
8229,SA226,U
8230,C586X,U
8231,C253,U
8232,A1`09,U
8233,MD8L,U
8234,D31,U
8235,A319 A321,U
8236,CRJ7 & B733,U
8237,B717-200,U
8238,EAS0,U
8239,DR22,U
8240,MD83 B737,U
8241,H25BL,U
8242,A320B737,U
8243,LR75,U
8244,RU9,U
8245,PULSAR3,U
8246,BE55  P28A,U
8247,A320 B778,U
8248,A3206,U
8249,SAB340,U
8250,E145  B737,U
8251,C51,U
8252,[A50,U
8253,BB734,U
8254,2109,U
8255,HB763 E170,U
8256,CRJ9P,U
8257,B71T,U
8258,LF31,U
8259,JJ70,U
8260,B39,U
8261,A50L,U
8262,M20PG,U
8263,SW9,U
8264,G25,U
8265,PA7,U
8266,GL57,U
8267,A580,U
8268,ACFT NG5,U
8269,NUMEOUS AC,U
8270,G103,U
8271,B73.9,U
8272,H333,U
8273,JUST ALON TOPS FL380,U
8274,C-182,U
8275,NMRS SE,U
8276,C788,U
8277,748,U
8278,DH*D,U
8279,K13 GLIDER,U
8280,T204,U
8281,MD90 AND MD,U
8282,D323,U
8283,B438,U
8284,PA-31,U
8285,BE35G,U
8286,A189,U
8287,B737 757,U
8288,DS8D,U
8289,E34X,U
8290,CL30L,U
8291,B739 A320,U
8292,B763L,U
8293,B7663,U
8294,M D80,U
8295,SR27,U
8296,CY14,U
8297,A339,U
8298,K25B,U
8299,D321,U
8300,C428,U
8301,P8A,U
8302,.B77W,U
8303,CL604,U
8304,D32B,U
8305,B7452,U
8306,HB776,U
8307,TEXII,U
8308,1730,U
8309,F900 B747,U
8310,B752 A319,U
8311,0738,U
8312,LJ410,U
8313,PS46,U
8314,CRJ2 TOPS 1,U
8315,DC12G,U
8316,73B,U
8317,C25B C750,U
8318,`CRJ,U
8319,`CL30,U
8320,680,U
8321,A3E20,U
8322,A3220,U
8323,EC75,U
8324,A3149,U
8325,160,U
8326,A359,U
8327,COSY,U
8328,C69,U
8329,SF74,U
8330,AC5M GLDR SMTH,U
8331,L680,U
8332,TBM9,U
8333,OVC030,U
8334,A3201,U
8335,B763 A319,U
8336,B7444,U
8337,A306 B737,U
8338,B-737,U
8339,BLCF,U
8340,MO0,U
8341,A311,U
8342,E56P,U
8343,C736,U
8344,BE170,U
8345,G28,U
8346,C710,U
8347,BR36,U
8348,CH9A,U
8349,SFB4,U
8350,PR1G,U
8351,HB788,U
8352,CRH6,U
8353,B738 E170,U
8354,C2508,U
8355,DA47,U
8356,B163,U
8357,S322,U
8358,TBMS,U
8359,E41X,U
8360,HB748,U
8361,W10,U
8362,CNUK,U
8363,MJLT,U
8364,CL10,U
8365,GL4F,U
8366,PZ18,U
8367,MC88,U
8368,PTSS,U
8369,2254,U
8370,A320.,U
8371,G77,U
8372,SA7,U
8373,LJ040,U
8374,B 777,U
8375,V330,U
8376,RQ4B,U
8377,NMRTS,U
8378,CRK8,U
8379,BCS1,U
8380,DSH-8,U
8381,1701,U
8382,BH738,U
8383,B737 B717,U
8384,ND82,U
8385,MA321,U
8386,200,U
8387,CRJ-,U
8388,E35L,U
8389,GLEX4,U
8390,B737 E170,U
8391,MT,U
8392,B738 & B752,U
8393,TOPS 250,U
8394,P4Y,U
8395,AP24,U
8396,BKN005,U
8397,EIZO,U
8398,TBM 800,U
8399,CZ10,U
8400,RQ4,U
8401,B798,U
8402,CL630,U
8403,B782,U
8404,C250B,U
8405,FA2,U
8406,D56X,U
8407,0772,U
8408,B7847,U
8409,CRJ9R,U
8410,E555P,U
8411,C325B,U
8412,K35L,U
8413,B90C,U
8414,X45XL,U
8415,A3919,U
8416,Z321,U
8417,C708,U
8418,A320IL,U
8419,MLTP,U
8420,E8,U
8421,DCT,U
8422,B788ECG,U
8423,CRJ2`,U
8424,CJRJ7,U
8425,POE128,U
8426,H5,U
8427,F2TH  GLF4,U
8428,A888,U
8429,A320F,U
8430,A-2,U
8431,DJC8,U
8432,B7369,U
8433,F90D,U
8434,A12,U
8435,AJ4,U
8436,BB190,U
8437,B73E9,U
8438,HD11,U
8439,L298,U
8440,MD0,U
8441,HA33,U
8442,CV208,U
8443,A3119,U
8444,B151,U
8445,N747,U
8446,BE-99,U
8447,H350,U
8448,AT75,U
8449,DH86,U
8450,HA420,U
8451,NM88,U
8452,ALL TYPES OF AIRCRAFT,U
8453,DA8A,U
8454,B137,U
8455,CRJ9 A320,U
8456,A3199,U
8457,GREAT LAKES,U
8458,S20,U
8459,K172,U
8460,MD88 MD88,U
8461,PC24,U
8462,050OVC,U
8463,C-206,U
8464,LJ-60,U
8465,CT142,U
8466,A173,U
8467,BLFC,U
8468,B7383,U
8469,78,U
8470,0210,U
8471,PA4T,U
8472,EC130,U
8473,SW4`,U
8474,B737 & A321,U
8475,BVE65,U
8476,MN90,U
8477,CE10,U
8478,MDBB,U
8479,2F18,U
8480,A306 & CRJ2,U
8481,C29C,U
8482,B737 & A320,U
8483,B74B,U
8484,SH16,U
8485,HAWKER JE5,U
8486,COF4,U
8487,BE290,U
8488,PA-34,U
8489,E109,U
8490,A3196,U
8491,B171,U
8492,FEDEX B757,U
8493,A3290,U
8494,B713,U
8495,NUMBRS,U
8496,LR52,U
8497,1725,U
8498,F99,U
8499,A3443,U
8500,1427,U
8501,HD788,U
8502,SR232,U
8503,CL53,U
8504,E17C,U
8505,HEAVY A332,U
8506,HEAVY B777,U
8507,HB739,U
8508,B7396,U
8509,A320A319,U
8510,PC120,U
8511,C-150,U
8512,B7374,U
8513,W190,U
8514,SHAW,U
8515,PREX,U
8516,787,U
8517,B792,U
8518,PA320,U
8519,MZ02,U
8520,T154,U
8521,UH-60,U
8522,C-172,U
8523,CCRJ9,U
8524,C7112,U
8525,355P,U
8526,H.MD11,U
8527,UH65,U
8528,306,U
8529,TBM-8,U
8530,MD9-,U
8531,A306 A320,U
8532,SW-3,U
8533,B7343,U
8534,5E145,U
8535,1542,U
8536,A371,U
8537,155,U
8538,C565X,U
8539,N777,U
8540,SR-22,U
8541,CS 208,U
8542,EE170,U
8543,MD500 HELO,U
8544,A3214,U
8545,AS319,U
8546,B191,U
8547,CRJ7 MD88,U
8548,BE35L,U
8549,Q40D,U
8550,NMRA A,U
8551,J-4 CUB,U
8552,HA360,U
8553,LX60,U
8554,H-A346,U
8555,MD88 A321,U
8556,CS,U
8557,CRJ & MD88,U
8558,A32039,U
8559,B33W,U
8560,C738,U
8561,TOP 260,U
8562,AH64D,U
8563,UH60L,U
8564,F090,U
8565,B7557,U
8566,HEAVY A306,U
8567,MULTP ACFT,U
8568,DRJ9,U
8569,HIB772,U
8570,H15,U
8571,GAZX,U
8572,CN25,U
8573,PAM1,U
8574,ATR-43,U
8575,CRJ-2,U
8576,E545,U
8577,GAL8,U
8578,DC 10,U
8579,GCRJ7,U
8580,B62,U
8581,BTBM7,U
8582,CS 172,U
8583,EJA808,U
8584,YACK,U
8585,A3019,U
8586,BE20L,U
8587,CTLS,U
8588,CRJ-9,U
8589,E-145,U
8590,SW43,U
8591,C508L,U
8592,HB367,U
8593,MD83L,U
8594,PA-46,U
8595,1930,U
8596,2230,U
8597,SS30,U
8598,HIA388,U
8599,OA46,U
8600,ALIG,U
8601,B74M,U
8602,BE-40,U
8603,C245C,U
8604,E-170,U
8605,MUTLI,U
8606,GL35,U
8607,B19055,U
8608,F9,U
8609,A320 MD90,U
8610,GLF 4,U
8611,7B37,U
8612,MULTPL A,U
8613,E505,U
8614,K25C,U
8615,CC25B,U
8616,MAGN,U
8617,C25B11,U
8618,RV-4,U
8619,DA5,U
8620,B708,U
8621,EMB145 GOOD RIDE,U
8622,F211,U
8623,B7434,U
8624,H8D,U
8625,CRU9,U
8626,ME88,U
8627,CRH7,U
8628,MDA,U
8629,A3189,U
8630,B7387,U
8631,BE58 & BE20,U
8632,GKF5,U
8633,BCLF,U
8634,H742,U
8635,A520,U
8636,A521,U
8637,E170 & LJ75,U
8638,AE46,U
8639,CK35,U
8640,J AND M,U
8641,C17R,U
8642,TA19,U
8643,B757 B738,U
8644,HAR5,U
8645,CRJ9 & A321,U
8646,K35R & F18,U
8647,B352,U
8648,DH-8D,U
8649,GIF5,U
8650,HA42,U
8651,HEAVY B744,U
8652,E1770,U
8653,M772,U
8654,A250,U
8655,A319 & CRJ2,U
8656,F22TH,U
8657,PC 12,U
8658,HA46,U
8659,LN35,U
8660,A260,U
8661,E176,U
8662,C195 BE58,U
8663,AKN,U
8664,U170,U
8665,BE-90,U
8666,1528,U
8667,BASES 033,U
8668,H255,U
8669,MU2T,U
8670,7GCBC,U
8671,ASB2,U
8672,ASTR HELO,U
8673,228,U
8674,E55F,U
8675,SEAPLANE,U
8676,C528,U
8677,G64T,U
8678,E55B,U
8679,P28A & PA34,U
8680,P467,U
8681,TBN8,U
8682,VAR ACFT,U
8683,PRMJ,U
8684,3190,U
8685,D402,U
8686,CESSNA 207,U
8687,EUROCOPTER,U
8688,E55L,U
8689,1539,U
8690,CEJ9,U
8691,H B763,U
8692,AH8A,U
8693,CS207,U
8694,DC8A,U
8695,GFL5T,U
8696,C251,U
8697,A-319,U
8698,C525C,U
8699,B640,U
8700,C7550,U
8701,NORS,U
8702,G208,U
8703,NUMEROUS ZC,U
8704,CRJ7 - E170,U
8705,ROM,U
8706,CJR-2,U
8707,GALIX,U
8708,NVAR,U
8709,LEAR35,U
8710,C245B,U
